mode	scenario	job	max_queue_p99_ms	max_run_p99_ms
affinity-cpu0	hidden	Disk:DiskTemperature:NamedPath { name: "nvme0n1", path: "/sys/class/hwmon/hwmon6/temp1_input" }	0.068	5.065
affinity-cpu0	hidden	Discovery:HardwareDiscovery:Inventory(Smart)	0.059	2.835
affinity-cpu0	hidden	Discovery:HardwareDiscovery:Inventory(Network)	0.022	2.181
affinity-cpu0	hidden	Disk:DiskTemperature:NamedPath { name: "nvme1n1", path: "/sys/class/hwmon/hwmon5/temp1_input" }	0.025	1.917
affinity-cpu0	hidden	Disk:DiskUsage:Mount("/run/media/bogdan/Q_16")	0.787	0.026
affinity-cpu0	hidden	Discovery:HardwareDiscovery:Inventory(Cpu)	0.567	0.300
affinity-cpu0	hidden	Disk:DiskUsage:Mount("/")	0.544	0.046
affinity-cpu0	hidden	Memory:Memory:Singleton	0.407	0.040
affinity-cpu0	hidden	Discovery:HardwareDiscovery:Inventory(Thermal)	0.037	0.338
affinity-cpu0	hidden	Discovery:MountInventory:Singleton	0.331	0.181
affinity-cpu0	hidden	Network:NetworkRate:Device("tun0")	0.319	0.057
affinity-cpu0	hidden	Cpu:Cpu:CpuSources { temperature: Some("/sys/class/hwmon/hwmon10/temp1_input"), frequency: Some("/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq"), turbo: Some("/sys/devices/system/cpu/cpufreq/boost") }	0.129	0.318
affinity-cpu0	hidden	Discovery:HardwareDiscovery:Inventory(Nvidia)	0.019	0.227
affinity-cpu0	hidden	Cpu:CpuHistory:Singleton	0.133	0.036
affinity-cpu0	hidden	Memory:MemoryHistory:Singleton	0.130	0.011
affinity-cpu0	hidden	Network:NetworkHistory:Singleton	0.064	0.031
affinity-cpu0	hidden	Discovery:HardwareDiscovery:Inventory(Intel)	0.019	0.026
affinity-cpu0	main	Disk:DiskUsage:Mount("/run/media/bogdan/T_01")	32.460	0.053
affinity-cpu0	main	Disk:Smart:SmartDrive { label: "nvme0n1", object_path: "/org/freedesktop/UDisks2/drives/KINGSTON_SKC2500M82000G_50026B7684E30425" }	0.149	23.522
affinity-cpu0	main	Discovery:HardwareDiscovery:Inventory(Network)	23.508	1.871
affinity-cpu0	main	Disk:DiskUsage:Mount("/run/media/bogdan/R_14")	19.650	0.088
