implementation	mode	scenario	repetition	window	wall_seconds	user_ticks	system_ticks	child_user_ticks	child_system_ticks	rss_peak_kib	voluntary_context_switches	involuntary_context_switches	child_exec_attempts	successful_child_execs	child_exits_zero	publication_writes	publication_bytes	publication_method
baseline	cpu0	hidden	3	steady	8.020000	0	0	0	0	4616	2283	0	0	0	0	10	70087	bounded-stat-poll-0.1s
baseline	cpu0	main	1	startup	0.120000	0	0	1	1	4804	3316	2	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	main	1	setup	0.020000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	cpu0	main	1	steady	8.010000	0	1	0	0	4804	2270	0	0	0	0	10	70057	bounded-stat-poll-0.1s
baseline	cpu0	main	2	startup	0.130000	0	1	1	0	4560	3316	5	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	main	2	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	cpu0	main	2	steady	8.020000	0	0	0	0	4560	2270	0	0	0	0	10	70087	bounded-stat-poll-0.1s
baseline	cpu0	main	3	startup	0.120000	0	0	1	1	4560	3316	2	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	main	3	setup	0.020000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	cpu0	main	3	steady	8.020000	0	1	0	0	4560	2270	0	0	0	0	10	70087	bounded-stat-poll-0.1s
baseline	cpu0	graphs	1	startup	0.130000	0	0	0	1	4560	3316	1	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	graphs	1	setup	0.070000	0	0	0	0	0	53	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	cpu0	graphs	1	steady	8.010000	2	1	0	0	4816	2420	0	0	0	0	11	92008	bounded-stat-poll-0.1s
baseline	cpu0	graphs	2	startup	0.110000	0	0	0	1	4560	3316	7	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	graphs	2	setup	0.130000	0	0	0	0	4816	53	0	0	0	0	1	6220	bounded-stat-poll-0.1s
baseline	cpu0	graphs	2	steady	8.000000	1	1	0	0	4816	2420	0	0	0	0	10	86230	bounded-stat-poll-0.1s
baseline	cpu0	graphs	3	startup	0.130000	0	0	1	1	4548	3316	1	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	graphs	3	setup	0.070000	0	0	0	0	0	53	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	cpu0	graphs	3	steady	8.020000	1	1	0	0	4804	2420	0	0	0	0	11	86919	bounded-stat-poll-0.1s
baseline	cpu0	processes	1	startup	0.130000	0	0	1	0	4756	3316	2	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	processes	1	setup	0.120000	0	1	0	0	4756	4965	0	0	0	0	1	3931	bounded-stat-poll-0.1s
baseline	cpu0	processes	1	steady	8.010000	1	8	0	0	4756	27358	0	0	0	0	10	59613	bounded-stat-poll-0.1s
baseline	cpu0	processes	2	startup	0.140000	0	0	1	0	4560	3316	2	9	9	0	2	13969	bounded-stat-poll-0.1s
baseline	cpu0	processes	2	setup	0.130000	0	1	0	0	4560	4981	0	0	0	0	1	3931	bounded-stat-poll-0.1s
baseline	cpu0	processes	2	steady	8.020000	1	8	0	0	4560	27362	0	0	0	0	10	59514	bounded-stat-poll-0.1s
baseline	cpu0	processes	3	startup	0.130000	0	0	1	0	4744	3316	2	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	processes	3	setup	0.130000	0	2	0	0	4744	4971	0	0	0	0	1	3931	bounded-stat-poll-0.1s
baseline	cpu0	processes	3	steady	8.030000	1	7	0	0	4744	27354	0	0	0	0	10	59597	bounded-stat-poll-0.1s
baseline	cpu0	unavailable-service	1	startup	0.140000	0	0	0	1	3792	3048	2	7	7	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	unavailable-service	1	setup	0.010000	0	0	0	0	0	13	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	cpu0	unavailable-service	1	steady	8.020000	0	1	0	0	3792	2270	0	0	0	0	10	70087	bounded-stat-poll-0.1s
baseline	cpu0	unavailable-service	2	startup	0.140000	0	0	0	0	3840	3048	1	7	7	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	unavailable-service	2	setup	0.020000	0	0	0	0	0	13	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	cpu0	unavailable-service	2	steady	8.030000	0	1	0	0	3840	2270	0	0	0	0	10	70077	bounded-stat-poll-0.1s
baseline	cpu0	unavailable-service	3	startup	0.140000	0	0	0	0	3792	3048	2	7	7	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	unavailable-service	3	setup	0.010000	0	0	0	0	0	13	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	cpu0	unavailable-service	3	steady	8.030000	0	1	0	0	3792	2270	0	0	0	0	10	70087	bounded-stat-poll-0.1s
baseline	cpu0	timeout	1	startup	0.140000	0	0	1	0	4572	3284	2	9	9	0	2	13867	bounded-stat-poll-0.1s
baseline	cpu0	timeout	1	setup	6.090000	0	0	0	0	4572	222	0	1	1	0	1	4294	bounded-stat-poll-0.1s
baseline	cpu0	timeout	1	steady	8.010000	0	1	0	1	4572	751	0	3	3	0	3	13976	bounded-stat-poll-0.1s
baseline	cpu0	timeout	2	startup	0.140000	0	1	1	0	4744	3284	2	9	9	0	2	13867	bounded-stat-poll-0.1s
baseline	cpu0	timeout	2	setup	6.100000	0	0	0	0	4744	222	0	1	1	0	1	4294	bounded-stat-poll-0.1s
baseline	cpu0	timeout	2	steady	8.030000	0	0	0	1	4744	751	0	3	3	0	3	13976	bounded-stat-poll-0.1s
baseline	cpu0	timeout	3	startup	0.150000	0	0	1	1	4744	3284	1	9	9	0	2	13867	bounded-stat-poll-0.1s
baseline	cpu0	timeout	3	setup	6.110000	0	0	0	0	4744	222	0	1	1	0	1	4294	bounded-stat-poll-0.1s
baseline	cpu0	timeout	3	steady	8.020000	0	1	0	0	4744	751	0	3	3	0	3	13976	bounded-stat-poll-0.1s
candidate	normal	hidden	1	startup	0.200000	0	1	0	0	8192	266	3	3	3	0	1	4605	bounded-stat-poll-0.1s
candidate	normal	hidden	1	setup	1.130000	1	0	0	0	8704	0	0	0	0	0	1	9147	bounded-stat-poll-0.1s
candidate	normal	hidden	1	steady	8.030000	0	1	0	0	8704	0	0	0	0	0	1	4841	bounded-stat-poll-0.1s
candidate	normal	hidden	2	startup	0.200000	0	1	0	0	7684	272	1	3	3	0	1	4605	bounded-stat-poll-0.1s
candidate	normal	hidden	2	setup	1.130000	0	0	0	0	8452	0	0	0	0	0	1	9147	bounded-stat-poll-0.1s
candidate	normal	hidden	2	steady	8.020000	1	1	0	0	8452	0	0	0	0	0	5	24205	bounded-stat-poll-0.1s
candidate	normal	hidden	3	startup	0.210000	0	1	0	0	7680	272	2	3	3	0	1	4605	bounded-stat-poll-0.1s
candidate	normal	hidden	3	setup	1.140000	0	0	0	0	8192	0	0	0	0	0	1	9147	bounded-stat-poll-0.1s
candidate	normal	hidden	3	steady	8.030000	1	1	0	0	8192	0	0	0	0	0	1	4841	bounded-stat-poll-0.1s
candidate	normal	main	1	startup	0.150000	0	1	0	0	8708	272	0	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	normal	main	1	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	main	1	steady	8.010000	2	0	0	0	8708	0	0	0	0	0	8	60415	bounded-stat-poll-0.1s
candidate	normal	main	2	startup	0.140000	0	1	0	0	8648	269	4	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	normal	main	2	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	main	2	steady	8.010000	1	1	0	0	8648	0	0	0	0	0	7	55609	bounded-stat-poll-0.1s
candidate	normal	main	3	startup	0.140000	1	1	0	0	8384	272	5	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	normal	main	3	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	main	3	steady	8.020000	1	1	0	0	8384	0	0	0	0	0	7	55609	bounded-stat-poll-0.1s
candidate	normal	graphs	1	startup	0.140000	1	1	0	0	9224	272	4	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	normal	graphs	1	setup	0.070000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	graphs	1	steady	8.010000	3	0	0	0	10128	0	0	0	0	0	10	68000	bounded-stat-poll-0.1s
candidate	normal	graphs	2	startup	0.140000	1	1	0	0	8964	272	0	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	normal	graphs	2	setup	0.070000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	graphs	2	steady	8.010000	3	1	0	0	9980	0	0	0	0	0	8	60478	bounded-stat-poll-0.1s
candidate	normal	graphs	3	startup	0.150000	1	1	0	0	8700	267	0	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	normal	graphs	3	setup	0.070000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	graphs	3	steady	8.010000	2	1	0	0	9476	0	0	0	0	0	6	41293	bounded-stat-poll-0.1s
candidate	normal	processes	1	startup	0.150000	0	1	0	0	8652	269	4	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	normal	processes	1	setup	0.080000	0	1	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	processes	1	steady	8.030000	3	8	0	0	8652	0	0	0	0	0	7	44117	bounded-stat-poll-0.1s
candidate	normal	processes	2	startup	0.150000	0	1	0	0	8772	269	0	3	3	0	2	13988	bounded-stat-poll-0.1s
