implementation	mode	scenario	repetition	window	wall_seconds	user_ticks	system_ticks	child_user_ticks	child_system_ticks	rss_peak_kib	voluntary_context_switches	involuntary_context_switches	child_exec_attempts	successful_child_execs	child_exits_zero	publication_writes	publication_bytes	publication_method
baseline	cpu0	graphs	3	setup	0.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4800	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	6208	bounded-stat-poll-0.1s
baseline	cpu0	graphs	3	steady	8.010000	1	1	NA:untraced_resource_run	NA:untraced_resource_run	4800	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	85777	bounded-stat-poll-0.1s
baseline	cpu0	processes	1	startup	0.070000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4820	21	2	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	processes	1	setup	0.130000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	4820	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	3931	bounded-stat-poll-0.1s
baseline	cpu0	processes	1	steady	8.010000	0	4	NA:untraced_resource_run	NA:untraced_resource_run	4820	80	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	59827	bounded-stat-poll-0.1s
baseline	cpu0	processes	2	startup	0.060000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4624	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13969	bounded-stat-poll-0.1s
baseline	cpu0	processes	2	setup	0.130000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	4624	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	3931	bounded-stat-poll-0.1s
baseline	cpu0	processes	2	steady	8.020000	0	4	NA:untraced_resource_run	NA:untraced_resource_run	4624	80	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	59830	bounded-stat-poll-0.1s
baseline	cpu0	processes	3	startup	0.080000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4540	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13969	bounded-stat-poll-0.1s
baseline	cpu0	processes	3	setup	0.130000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	4540	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	3931	bounded-stat-poll-0.1s
baseline	cpu0	processes	3	steady	8.010000	1	3	NA:untraced_resource_run	NA:untraced_resource_run	4540	81	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	59657	bounded-stat-poll-0.1s
candidate	normal	hidden	1	startup	0.140000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8456	2	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	4605	bounded-stat-poll-0.1s
candidate	normal	hidden	1	setup	1.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8968	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	9147	bounded-stat-poll-0.1s
candidate	normal	hidden	1	steady	8.010000	1	1	NA:untraced_resource_run	NA:untraced_resource_run	8968	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	5	24205	bounded-stat-poll-0.1s
candidate	normal	hidden	2	startup	0.120000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8140	2	5	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	4605	bounded-stat-poll-0.1s
candidate	normal	hidden	2	setup	1.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8908	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	9147	bounded-stat-poll-0.1s
candidate	normal	hidden	2	steady	8.010000	1	1	NA:untraced_resource_run	NA:untraced_resource_run	8908	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	3	14523	bounded-stat-poll-0.1s
candidate	normal	hidden	3	startup	0.120000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8188	2	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	4605	bounded-stat-poll-0.1s
candidate	normal	hidden	3	setup	1.120000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8956	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	9147	bounded-stat-poll-0.1s
candidate	normal	hidden	3	steady	8.010000	1	0	NA:untraced_resource_run	NA:untraced_resource_run	8956	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	4841	bounded-stat-poll-0.1s
candidate	normal	main	1	startup	0.120000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	9112	2	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	8769	bounded-stat-poll-0.1s
candidate	normal	main	1	setup	0.010000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
candidate	normal	main	1	steady	8.030000	1	1	NA:untraced_resource_run	NA:untraced_resource_run	9112	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	12	84085	bounded-stat-poll-0.1s
candidate	normal	main	2	startup	0.130000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	8684	2	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	8769	bounded-stat-poll-0.1s
candidate	normal	main	2	setup	0.020000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
candidate	normal	main	2	steady	8.030000	1	0	NA:untraced_resource_run	NA:untraced_resource_run	8684	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	74428	bounded-stat-poll-0.1s
candidate	normal	main	3	startup	0.130000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	8712	2	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	8769	bounded-stat-poll-0.1s
candidate	normal	main	3	setup	0.010000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
candidate	normal	main	3	steady	8.010000	1	0	NA:untraced_resource_run	NA:untraced_resource_run	8712	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	74438	bounded-stat-poll-0.1s
candidate	normal	graphs	1	startup	0.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	9484	2	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	8769	bounded-stat-poll-0.1s
candidate	normal	graphs	1	setup	0.070000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	9740	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	10949	bounded-stat-poll-0.1s
